% Source Destination PIR POR T_on T_off T_period
48 34 1.0 1.0 434010 434012 1000000000
49 34 1.0 1.0 434010 434012 1000000000
50 34 1.0 1.0 434010 434012 1000000000
51 34 1.0 1.0 434010 434012 1000000000
52 34 1.0 1.0 434010 434012 1000000000
53 34 1.0 1.0 434010 434012 1000000000
62 34 1.0 1.0 434010 434012 1000000000
54 34 1.0 1.0 434010 434012 1000000000
63 34 1.0 1.0 434010 434012 1000000000
58 34 1.0 1.0 434010 434012 1000000000
28 9 1.0 1.0 434012 434014 1000000000
34 57 1.0 1.0 434013 434015 1000000000
57 57 1.0 1.0 434013 434015 1000000000
34 8 1.0 1.0 434016 434018 1000000000
8 8 1.0 1.0 434016 434018 1000000000
3 24 1.0 1.0 434017 434019 1000000000
34 55 1.0 1.0 434019 434021 1000000000
55 55 1.0 1.0 434019 434021 1000000000
34 45 1.0 1.0 434022 434024 1000000000
45 45 1.0 1.0 434022 434024 1000000000
34 41 1.0 1.0 434025 434027 1000000000
41 41 1.0 1.0 434025 434027 1000000000
34 38 1.0 1.0 434028 434030 1000000000
38 38 1.0 1.0 434028 434030 1000000000
8 34 1.0 1.0 434029 434031 1000000000
29 4 1.0 1.0 434030 434032 1000000000
34 37 1.0 1.0 434031 434033 1000000000
37 37 1.0 1.0 434031 434033 1000000000
55 34 1.0 1.0 434032 434034 1000000000
4 11 1.0 1.0 434033 434035 1000000000
34 36 1.0 1.0 434034 434036 1000000000
36 36 1.0 1.0 434034 434036 1000000000
45 34 1.0 1.0 434035 434037 1000000000
34 35 1.0 1.0 434037 434039 1000000000
35 35 1.0 1.0 434037 434039 1000000000
41 34 1.0 1.0 434038 434040 1000000000
34 34 1.0 1.0 434040 434042 1000000000
34 34 1.0 1.0 434040 434042 1000000000
38 34 1.0 1.0 434041 434043 1000000000
24 3 1.0 1.0 434041 434043 1000000000
34 33 1.0 1.0 434043 434045 1000000000
33 33 1.0 1.0 434043 434045 1000000000
37 34 1.0 1.0 434044 434046 1000000000
34 32 1.0 1.0 434046 434048 1000000000
32 32 1.0 1.0 434046 434048 1000000000
36 34 1.0 1.0 434047 434049 1000000000
3 27 1.0 1.0 434048 434050 1000000000
34 31 1.0 1.0 434049 434051 1000000000
31 31 1.0 1.0 434049 434051 1000000000
35 34 1.0 1.0 434050 434052 1000000000
34 30 1.0 1.0 434052 434054 1000000000
30 30 1.0 1.0 434052 434054 1000000000
34 34 1.0 1.0 434053 434055 1000000000
34 29 1.0 1.0 434055 434057 1000000000
29 29 1.0 1.0 434055 434057 1000000000
33 34 1.0 1.0 434056 434058 1000000000
34 28 1.0 1.0 434058 434060 1000000000
28 28 1.0 1.0 434058 434060 1000000000
32 34 1.0 1.0 434059 434061 1000000000
34 27 1.0 1.0 434061 434063 1000000000
27 27 1.0 1.0 434061 434063 1000000000
31 34 1.0 1.0 434062 434064 1000000000
34 26 1.0 1.0 434064 434066 1000000000
26 26 1.0 1.0 434064 434066 1000000000
30 34 1.0 1.0 434065 434067 1000000000
34 25 1.0 1.0 434067 434069 1000000000
25 25 1.0 1.0 434067 434069 1000000000
29 34 1.0 1.0 434068 434070 1000000000
34 39 1.0 1.0 434070 434072 1000000000
39 39 1.0 1.0 434070 434072 1000000000
28 34 1.0 1.0 434071 434073 1000000000
27 3 1.0 1.0 434072 434074 1000000000
34 42 1.0 1.0 434073 434075 1000000000
42 42 1.0 1.0 434073 434075 1000000000
27 34 1.0 1.0 434074 434076 1000000000
34 40 1.0 1.0 434076 434078 1000000000
40 40 1.0 1.0 434076 434078 1000000000
26 34 1.0 1.0 434077 434079 1000000000
34 43 1.0 1.0 434079 434081 1000000000
43 43 1.0 1.0 434079 434081 1000000000
57 34 1.0 1.0 434080 434082 1000000000
25 34 1.0 1.0 434080 434082 1000000000
34 46 1.0 1.0 434082 434084 1000000000
46 46 1.0 1.0 434082 434084 1000000000
39 34 1.0 1.0 434083 434085 1000000000
34 47 1.0 1.0 434085 434087 1000000000
47 47 1.0 1.0 434085 434087 1000000000
3 5 1.0 1.0 434085 434087 1000000000
42 34 1.0 1.0 434086 434088 1000000000
34 5 1.0 1.0 434088 434090 1000000000
5 5 1.0 1.0 434088 434090 1000000000
40 34 1.0 1.0 434089 434091 1000000000
34 1 1.0 1.0 434091 434093 1000000000
1 1 1.0 1.0 434091 434093 1000000000
43 34 1.0 1.0 434092 434094 1000000000
34 23 1.0 1.0 434094 434096 1000000000
23 23 1.0 1.0 434094 434096 1000000000
46 34 1.0 1.0 434095 434097 1000000000
34 22 1.0 1.0 434097 434099 1000000000
22 22 1.0 1.0 434097 434099 1000000000
47 34 1.0 1.0 434098 434100 1000000000
34 21 1.0 1.0 434100 434102 1000000000
21 21 1.0 1.0 434100 434102 1000000000
5 34 1.0 1.0 434101 434103 1000000000
34 20 1.0 1.0 434103 434105 1000000000
20 20 1.0 1.0 434103 434105 1000000000
9 28 1.0 1.0 434103 434105 1000000000
1 34 1.0 1.0 434104 434106 1000000000
34 19 1.0 1.0 434106 434108 1000000000
19 19 1.0 1.0 434106 434108 1000000000
23 34 1.0 1.0 434107 434109 1000000000
34 18 1.0 1.0 434109 434111 1000000000
18 18 1.0 1.0 434109 434111 1000000000
5 3 1.0 1.0 434109 434111 1000000000
22 34 1.0 1.0 434110 434112 1000000000
34 17 1.0 1.0 434112 434114 1000000000
17 17 1.0 1.0 434112 434114 1000000000
21 34 1.0 1.0 434113 434115 1000000000
34 16 1.0 1.0 434115 434117 1000000000
16 16 1.0 1.0 434115 434117 1000000000
20 34 1.0 1.0 434116 434118 1000000000
34 15 1.0 1.0 434118 434120 1000000000
